咪咕代理全网通,#genre#
CCTV1综合,http://go.bkpcp.top/mg/cctv1
CCTV2财经,http://go.bkpcp.top/mg/cctv2
CCTV3综艺,http://go.bkpcp.top/mg/cctv3
CCTV4中文国际,http://go.bkpcp.top/mg/cctv4
CCTV4中文国际欧洲,http://go.bkpcp.top/mg/cctv4o
CCTV4中文国际美洲,http://go.bkpcp.top/mg/cctv4m
CCTV5体育,http://go.bkpcp.top/mg/cctv5
CCTV5+体育赛事,http://go.bkpcp.top/mg/cctv5p
CCTV6电影,http://go.bkpcp.top/mg/cctv6
CCTV7国防军事,http://go.bkpcp.top/mg/cctv7
CCTV8电视剧,http://go.bkpcp.top/mg/cctv8
CCTV9纪录,http://go.bkpcp.top/mg/cctv9
CCTV10科教,http://go.bkpcp.top/mg/cctv10
CCTV11戏曲,http://go.bkpcp.top/mg/cctv11
CCTV12社会与法,http://go.bkpcp.top/mg/cctv12
CCTV13新闻,http://go.bkpcp.top/mg/cctv13
CCTV14少儿,http://go.bkpcp.top/mg/cctv14
CCTV15音乐,http://go.bkpcp.top/mg/cctv15
CCTV16奥林匹克,http://go.bkpcp.top/mg/cctv16
CCTV17农业农村,http://go.bkpcp.top/mg/cctv17
CGTN-西语,http://go.bkpcp.top/mg/cgtne
CGTN-阿语,http://go.bkpcp.top/mg/cgtna
CGTN-法语,http://go.bkpcp.top/mg/cgtnf
CGTN,http://go.bkpcp.top/mg/cgtne
CHC家庭影院,http://go.bkpcp.top/mg/jtyy
CHC动作电影,http://go.bkpcp.top/mg/dzdy
CHC影迷电影,http://go.bkpcp.top/mg/ymdy
重温经典,http://go.bkpcp.top/mg/cwjd
凤凰中文,http://go.bkpcp.top/mg/fhzw
凤凰资讯,http://go.bkpcp.top/mg/fhzx
凤凰香港台,http://go.bkpcp.top/mg/fhhk
湖南卫视4K,http://go.bkpcp.top/mg/hunws
浙江卫视4K,http://go.bkpcp.top/mg/zjws
东方卫视4K,http://go.bkpcp.top/mg/dfws
安徽卫视,http://go.bkpcp.top/mg/ahws
北京卫视,http://go.bkpcp.top/mg/bjws
大湾区卫视,http://go.bkpcp.top/mg/dwqws
东南卫视,http://go.bkpcp.top/mg/dnws
甘肃卫视,http://go.bkpcp.top/mg/gsws
广东卫视,http://go.bkpcp.top/mg/gdws
广西卫视,http://go.bkpcp.top/mg/gxws
贵州卫视,http://go.bkpcp.top/mg/gzws
海南卫视,http://go.bkpcp.top/mg/hinws
河北卫视,http://go.bkpcp.top/mg/hbws
黑龙江卫视,http://go.bkpcp.top/mg/hljws
湖北卫视,http://go.bkpcp.top/mg/hubws
河南卫视,http://go.bkpcp.top/mg/hnws
吉林卫视,http://go.bkpcp.top/mg/jlws
江苏卫视,http://go.bkpcp.top/mg/jsws
江西卫视,http://go.bkpcp.top/mg/jxws
辽宁卫视,http://go.bkpcp.top/mg/lnws
内蒙古卫视,http://go.bkpcp.top/mg/nmgws
宁夏卫视,http://go.bkpcp.top/mg/nxws
青海卫视,http://go.bkpcp.top/mg/qhws
山东卫视,http://go.bkpcp.top/mg/sdws
山西卫视,http://go.bkpcp.top/mg/sxiws
陕西卫视,http://go.bkpcp.top/mg/sxws
深圳卫视,http://go.bkpcp.top/mg/szws
四川卫视,http://go.bkpcp.top/mg/scws
天津卫视,http://go.bkpcp.top/mg/tjws
西藏卫视,http://go.bkpcp.top/mg/xzws
新疆卫视,http://go.bkpcp.top/mg/xjws
云南卫视,http://go.bkpcp.top/mg/ynws
重庆卫视,http://go.bkpcp.top/mg/cqws
海峡卫视,http://go.bkpcp.top/mg/hxws
兵团卫视,http://go.bkpcp.top/mg/btws
纪实科教,http://go.bkpcp.top/mg/bjjs
第一财经HD,http://go.bkpcp.top/mg/dycj
劲爆体育HD,http://go.bkpcp.top/mg/jbty
五星体育HD,http://go.bkpcp.top/mg/wxty
CETV1,http://go.bkpcp.top/mg/cetv1
CETV2http://go.bkpcp.top/mg/cetv2
CETV3http://go.bkpcp.top/mg/cetv3
CETV4http://go.bkpcp.top/mg/cetv4
上海都市HD,http://go.bkpcp.top/mg/shds
广东经济科教HD,http://go.bkpcp.top/mg/mlzq
广东体育HD,http://go.bkpcp.top/mg/gdty
广东珠江HD,http://go.bkpcp.top/mg/gdzj
广东民生HD,http://go.bkpcp.top/mg/gdms
广东新闻HD,http://go.bkpcp.top/mg/gdjjkj
